PLC_MAC_address,Serial Number,Enet_MAC_Address,comment,Shift,dateMGF,Base_PN,issue_mod,mfg_Location,developer_features,PIB_PN,base_PN_at_MFG,Config_Issue_at_MFG,HW_product_name_Part1,HW_product_name_Part2,Timestamp
0C73EBAA0050,25041100192,0C73EBAB0050,,,,,,,,,,,,,
0C73EBAA0051,25041100017,0C73EBAB0051,,,,,,,,,,,,,
0C73EBAA0052,25041100019,0C73EBAB0052,,,,,,,,,,,,,
0C73EBAA0053,25041100073,0C73EBAB0053,,,,,,,,,,,,,
0C73EBAA0054,25041100040,0C73EBAB0054,,,,,,,,,,,,,
0C73EBAA0055,25041100087,0C73EBAB0055,,,,,,,,,,,,,
0C73EBAA0056,25041100085,0C73EBAB0056,,,,,,,,,,,,,
0C73EBAA0057,25041100106,0C73EBAB0057,,,,,,,,,,,,,
0C73EBAA0058,25041100070,0C73EBAB0058,,,,,,,,,,,,,
0C73EBAA0059,25041100114,0C73EBAB0059,,,,,,,,,,,,,
0C73EBAA005A,25041100045,0C73EBAB005A,,,,,,,,,,,,,
0C73EBAA005B,25041100023,0C73EBAB005B,,,,,,,,,,,,,
0C73EBAA005C,25041100049,0C73EBAB005C,,,,,,,,,,,,,
0C73EBAA005D,25041100069,0C73EBAB005D,,,,,,,,,,,,,
0C73EBAA005E,25041100206,0C73EBAB005E,,,,,,,,,,,,,
0C73EBAA005F,25041100050,0C73EBAB005F,,,,,,,,,,,,,
0C73EBAA0060,25041100207,0C73EBAB0060, Started using MAC for ethernet below 4/9/26 SM,,,,,,,,,,,,
0C73EBAA0061,0325041100101,0C73EBAB0061,SM,010,TESTED,,,,,,,,,,
0C73EBAA0062,0325041100036,0C73EBAB0062,SM,010,TESTED,,,,,,,,,,
0C73EBAA0063,0325041100117,0C73EBAB0063,SM,010,TESTED,,,,,,,,,,
0C73EBAA0064,0325041100071,0C73EBAB0064,SM,010,TESTED,,,,,,,,,,
0C73EBAA0065,0325041100025,0C73EBAB0065,SM,010,TESTED,,,,,,,,,,
0C73EBAA0066,0325041100165,0C73EBAB0066,SM,010,TESTED,,,,,,,,,,
0C73EBAA0067,0325041100200,0C73EBAB0067,SM,010,TESTED,,,,,,,,,,
0C73EBAA0068,0325041100074,0C73EBAB0068,SM,010,TESTED,,,,,,,,,,
0C73EBAA0069,0325041100063,0C73EBAB0069,SM,010,TESTED,,,,,,,,,,
0C73EBAA006A,0325041100107,0C73EBAB006A,SM,010,TESTED,,,,,,,,,,
0C73EBAA006B,0325041100156,0C73EBAB006B,SM,000,,,,,,,,,,,
0C73EBAA006C,0325041100203,0C73EBAB006C,SM,000,,,,,,,,,,,
0C73EBAA006D,0325041100091,0C73EBAB006D,SM,000,,,,,,,,,,,
0C73EBAA006E,0325041100095,0C73EBAB006E,SM,000,,,,,,,,,,,
0C73EBAA006F,0325041100099,0C73EBAB006F,SM,010,,,,,,,,,,,
0C73EBAA0070,0325041100199,0C73EBAB0070,SM,00G,,,,,,,,,,,
0C73EBAA0071,0325041100201,0C73EBAB0071,,,,,,,,,,,,,
0C73EBAA0072,0325041100166,0C73EBAB0072,,,,,,,,,,,,,
0C73EBAA0073,0325041100180,0C73EBAB0073,,,,,,,,,,,,,
0C73EBAA0074,0325041100140,0C73EBAB0074,,,,,,,,,,,,,
0C73EBAA0075,0325041100075,0C73EBAB0075,SM,010,,,,,,,,,,,
0C73EBAA0076,0325041100181,0C73EBAB0076,SM,010,,,,,,,,,,,
?0C73EBAA0077,0326040600443,0C73EBAB0077,SM, 000-c2d, C Samples start here - Nx3-000C_UCB-BP-HSM-DIS-TRI-BP-ETC-CAL-29APR2026,,,,,,,,,,
?0C73EBAA0078,0326040600379,0C73EBAB0078,SM, 000-c2d,,,,,,,,,,,
0C73EBAA0079,0326040600301,0C73EBAB0079,SM, 000-c2d,,,,,,,,,,,
0C73EBAA007A,0326040600435,0C73EBAB007A,SM, 000-c2d,,,,,,,,,,,
0C73EBAA007B,0326040600459,0C73EBAB007B,SM, 000-c2d,,,,,,,,,,,
0C73EBAA007C,0326040600371,0C73EBAB007C,SM, 000-c2d,,,,,,,,,,,
0C73EBAA007D,0326040600302,0C73EBAB007D,SM, 000-c2d,,,,,,,,,,,
0C73EBAA007E,0326040600347,0C73EBAB007E,SM, 000-c2d,,,,,,,,,,,
0C73EBAA007F,0326040600430,0C73EBAB007F,SM, 000-c2d,,,,,,,,,,,
0C73EBAA0080,0326040600374,0C73EBAB0080,SM, 000-c2d,,,,,,,,,,,
0C73EBAA0081,0303000100458,0C73EBAB0081,SM, 000c-2d, using PCBA QR label for SN remove 24 (USI) add 03 (INTERNAL BUILD),,,,,,,,,,
0C73EBAA0082,0303000100365,0C73EBAB0082,SM, 000-c2d,,,,,,,,,,,
0C73EBAA0083,0303000100437,0C73EBAB0083,SM, 000-c2d,,,,,,,,,,,
0C73EBAA0084,0303000100386,0C73EBAB0084,SM, 000-c2d,,,,,,,,,,,
0C73EBAA0085,0303000100374,0C73EBAB0085,SM, 000-c2d,,,,,,,,,,,
0C73EBAA0086,0303000100358,0C73EBAB0086,SM, 000-c2d,,,,,,,,,,,
0C73EBAA0087,0303000100358,0C73EBAB0087,SM, 000-c2d,,,,,,,,,,,
0C73EBAA0088,0303000100373,0C73EBAB0088,SM, 000-c2d,,,,,,,,,,,
0C73EBAA0089,0303000100453,0C73EBAB0089,SM, 000-c2d,,,,,,,,,,,
0C73EBAA008A,0303000100467,0C73EBAB008A,SM, 000-c2d,,,,,,,,,,,
0C73EBAA008B,0303000100461,0C73EBAB008B,SM, 000-c2d,,,,,,,,,,,
0C73EBAA008C,0303000100425,0C73EBAB008C,SM, 000-c2d,,,,,,,,,,,
0C73EBAA008D,0303000100414,0C73EBAB008D,SM, 000-c2d,,,,,,,,,,,
0C73EBAA008E,0303000100431,0C73EBAB008E,SM, 000-c2d,,,,,,,,,,,
0C73EBAA008F,0303000100418,0C73EBAB008F,SM, 000-c2d,,,,,,,,,,,
0C73EBAA0090,0303000100439,0C73EBAB0090,SM, 000-c2d,Nx3-000C_UCB-BP-HSM-DIS-TRI-BP-ETC-CAL-03JUN2026, QCAEnabled in cal,,,,,,,,,
0C73EBAA0091,0303000100375,0C73EBAB0091,SM, 000-c2d,,,,,,,,,,,
0C73EBAA0092,0303000100334,0C73EBAB0092,SM, 000-c2d,,,,,,,,,,,
0C73EBAA0093,0303000100052,0C73EBAB0093,SM,000,Nx3-010_UCB-BP-HSM-DIS-TRI-BP-ETC-CAL-260408,,,,,,,,,,
0C73EBAA0094,0303000100038,0C73EBAB0094,,,,,,,,,,,,,
0C73EBAA0095,0303000100141,0C73EBAB0095,,,,,,,,,,,,,
0C73EBAA0096,2403000100337,0C73EBAB0096,,,,,,,,,,,,,
0C73EBAA0097,2403000100402,0C73EBAB0097,,,,,,,,,,,,,
0C73EBAA0098,2403000100377,0C73EBAB0098,,,,,,,,,,,,,
0C73EBAA0099,2403000100330,0C73EBAB0099,,,,,,,,,,,,,
0C73EBAA009A,2403000100353,0C73EBAB009A,,,,,,,,,,,,,
0C73EBAA009B,2403000100426,0C73EBAB009B,,,,,,,,,,,,,
0C73EBAA009C,2403000100427,0C73EBAB009C,,,,,,,,,,,,,
0C73EBAA009D,2403000100331,0C73EBAB009D,,,,,,,,,,,,,
0C73EBAA009E,2403000100399,0C73EBAB009E,,,,,,,,,,,,,
0C73EBAA009F,2403000100370,0C73EBAB009F,,,,,,,,,,,,,
0C73EBAA00A0,2403000100415,0C73EBAB00A0,,,,,,,,,,,,,
0C73EBAA00A1,2403000100350,0C73EBAB00A1,,,,,,,,,,,,,
0C73EBAA00A2,2403000100346,0C73EBAB00A2,,,,,,,,,,,,,
0C73EBAA00A3,2403000100398,0C73EBAB00A3,,,,,,,,,,,,,
0C73EBAA00A4,325041199999,0C73EBAB00A4,,1,2026-04-01,01T070412,03:00,   USI,,00 000000,02T070409,1,Nx3-00,0     ,2026-08-21 10:42:49
0C73EBAA00A5,325041199998,0C73EBAB00A5,,1,2026-04-01,01T070412,03:00,   USI,,00 000000,02T070409,1,Nx3-00,0     ,2026-08-21 10:43:06
0C73EBAA00A6,,0C73EBAB00A6,,,,,,,,,,,,,
0C73EBAA00A7,,0C73EBAB00A7,,,,,,,,,,,,,
0C73EBAA00A8,,0C73EBAB00A8,,,,,,,,,,,,,
0C73EBAA00A9,,0C73EBAB00A9,,,,,,,,,,,,,
0C73EBAA00AA,,0C73EBAB00AA,,,,,,,,,,,,,
0C73EBAA00AB,,0C73EBAB00AB,,,,,,,,,,,,,
0C73EBAA00AC,,0C73EBAB00AC,,,,,,,,,,,,,
0C73EBAA00AD,,0C73EBAB00AD,,,,,,,,,,,,,
0C73EBAA00AE,,0C73EBAB00AE,,,,,,,,,,,,,
0C73EBAA00AF,,0C73EBAB00AF,,,,,,,,,,,,,
0C73EBAA00B0,,0C73EBAB00B0,,,,,,,,,,,,,
0C73EBAA00B1,,0C73EBAB00B1,,,,,,,,,,,,,
0C73EBAA00B2,,0C73EBAB00B2,,,,,,,,,,,,,
0C73EBAA00B3,,0C73EBAB00B3,,,,,,,,,,,,,
0C73EBAA00B4,,0C73EBAB00B4,,,,,,,,,,,,,
0C73EBAA00B5,,0C73EBAB00B5,,,,,,,,,,,,,
0C73EBAA00B6,,0C73EBAB00B6,,,,,,,,,,,,,
0C73EBAA00B7,,0C73EBAB00B7,,,,,,,,,,,,,
0C73EBAA00B8,,0C73EBAB00B8,,,,,,,,,,,,,
0C73EBAA00B9,,0C73EBAB00B9,,,,,,,,,,,,,
0C73EBAA00BA,,0C73EBAB00BA,,,,,,,,,,,,,
0C73EBAA00BB,,0C73EBAB00BB,,,,,,,,,,,,,
0C73EBAA00BC,,0C73EBAB00BC,,,,,,,,,,,,,
0C73EBAA00BD,,0C73EBAB00BD,,,,,,,,,,,,,
0C73EBAA00BE,,0C73EBAB00BE,,,,,,,,,,,,,
0C73EBAA00BF,,0C73EBAB00BF,,,,,,,,,,,,,
0C73EBAA00C0,,0C73EBAB00C0,,,,,,,,,,,,,
0C73EBAA00C1,,0C73EBAB00C1,,,,,,,,,,,,,
0C73EBAA00C2,,0C73EBAB00C2,,,,,,,,,,,,,
0C73EBAA00C3,,0C73EBAB00C3,,,,,,,,,,,,,
0C73EBAA00C4,,0C73EBAB00C4,,,,,,,,,,,,,
0C73EBAA00C5,,0C73EBAB00C5,,,,,,,,,,,,,
0C73EBAA00C6,,0C73EBAB00C6,,,,,,,,,,,,,
0C73EBAA00C7,,0C73EBAB00C7,,,,,,,,,,,,,
0C73EBAA00C8,,0C73EBAB00C8,,,,,,,,,,,,,
0C73EBAA00C9,,0C73EBAB00C9,,,,,,,,,,,,,
0C73EBAA00CA,,0C73EBAB00CA,,,,,,,,,,,,,
0C73EBAA00CB,,0C73EBAB00CB,,,,,,,,,,,,,
0C73EBAA00CC,,0C73EBAB00CC,,,,,,,,,,,,,
0C73EBAA00CD,,0C73EBAB00CD,,,,,,,,,,,,,
0C73EBAA00CE,,0C73EBAB00CE,,,,,,,,,,,,,
0C73EBAA00CF,,0C73EBAB00CF,,,,,,,,,,,,,
0C73EBAA00D0,,0C73EBAB00D0,,,,,,,,,,,,,
0C73EBAA00D1,,0C73EBAB00D1,,,,,,,,,,,,,
0C73EBAA00D2,,0C73EBAB00D2,,,,,,,,,,,,,
0C73EBAA00D3,,0C73EBAB00D3,,,,,,,,,,,,,
0C73EBAA00D4,,0C73EBAB00D4,,,,,,,,,,,,,
0C73EBAA00D5,,0C73EBAB00D5,,,,,,,,,,,,,
0C73EBAA00D6,,0C73EBAB00D6,,,,,,,,,,,,,
